ex_dividend_date,分配金額,54C股利,76W財產交易,資本公積
2024/07/11,0.050,0.049,0,0
2024/08/08,0.050,0.049,0.001,0
2024/09/05,0.050,0.049,0.001,0
2024/10/09,0.050,0.049,0.001,0
2024/11/07,0.040,0.040,0,0
2024/12/11,0.040,0.040,0,0
2025/01/02,0.030,0.030,0,0
2025/02/06,0.030,0.029,0.001,0
2025/03/11,0.030,0.030,0,0
2025/04/10,0.030,0.029,0.001,0
2025/05/08,0.030,0.029,0.001,0
2025/06/10,0.030,0.029,0.001,0
2025/07/10,0.040,0.040,0,0
2025/08/07,0.040,0.040,0,0
2025/09/09,0.040,0.040,0,0
2025/10/08,0.040,0.040,0,0
2025/11/06,0.040,0.040,0,0
2025/12/10,0.045,0.045,0,0
2026/01/08,0.045,0.045,0,0
2026/02/02,0.045,0.045,0,0
2026/03/11,0.045,0.044,0.001,0
2026/04/09,0.045,0.044,0.001,0
2026/05/07,0.045,0.044,0.001,0
2026/06/09,0.05,0.048,0.001,0.001
